probability,true_label,decision
0.8795902485142302,1,2
0.590138810051187,0,1
0.9443203648676168,1,2
0.8639020735230977,0,2
0.17832935610859071,0,0
0.7256396847995455,0,2
0.36443059095763175,0,0
0.8769319172121356,1,2
0.4458161085988479,0,1
0.23896611711850824,0,0
0.8408453364579601,1,2
0.8422540918778297,1,2
0.30395628088837817,0,0
0.10565235692697605,1,0
0.5058581539978443,0,1
0.19247868918772765,1,0
0.6423306459786727,1,2
0.4520118293116313,0,1
0.6081049065415228,0,1
0.07093988906694994,1,0
0.9407940821732068,1,2
0.34588449251769227,0,0
0.5045944595921156,0,1
0.030660002213995733,0,0
0.31806617652889824,0,0
0.4073672359567511,1,1
0.2577316765225624,0,0
0.31680314958222144,0,0
0.2789517199402496,0,0
0.674446712808691,1,2
0.20903473783909524,0,0
0.8629059608849892,1,2
0.9338643786113612,1,2
0.49056945580765254,0,1
0.2790683472315418,0,0
0.6609501973009232,1,2
0.74446881980904,1,2
0.8006115119919477,1,2
0.06901960053356324,0,0
0.2664157083238813,0,0
0.5676666795162499,1,1
0.4618545581516596,1,1
0.7795514470859286,1,2
0.9495425833665362,1,2
0.1341229182940175,0,0
0.6361601996199845,0,2
0.130908856499979,0,0
0.43362205072968757,0,1
0.10729482616562412,1,0
0.8370160346545964,1,2
0.19385301031284852,1,0
0.9381004160861548,1,2
0.1630331761743687,0,0
0.6907486202334825,1,2
0.7829017589735291,1,2
0.9028308778527149,1,2
0.3011711266204271,0,0
0.6322472821013403,1,2
0.12177631775849157,0,0
0.9329657121752354,1,2
0.22562765321512593,0,0
0.37296493670622055,1,0
0.6621127720306363,1,2
0.1847885484259143,0,0
0.7906428291116565,0,2
0.8575248710483662,1,2
0.813938730555097,1,2
0.21471699584855283,1,0
0.8241418665598799,1,2
0.44266703973767657,0,1
0.8853197787118519,1,2
0.7100247637775727,1,2
0.588375103663838,0,1
0.7943716002867599,1,2
0.41431810207349773,1,1
0.3796005909722758,0,0
0.09659519482473186,0,0
0.16426321312488393,0,0
0.5430687927679982,1,1
0.594466049405663,1,1
0.8386329086901124,1,2
0.0898837218769481,0,0
0.35784828480887854,0,0
0.7034316843141629,1,2
0.5067967175579337,1,1
0.5288413193784467,1,1
0.03197558898776164,0,0
0.7223879948048194,1,2
0.20583411349781625,0,0
0.8368204414516104,1,2
0.2117234129820656,1,0
0.2796381714850691,0,0
0.5152754109525288,1,1
0.12655678857232308,0,0
0.7529548992250932,0,2
0.15495129566026283,0,0
0.8209749902421247,1,2
0.9032767269219208,1,2
0.59331718014741,1,1
0.3161056535866166,0,0
0.45143394424982214,0,1
0.3880540961044373,0,0
0.20740963844398455,0,0
0.37816831293670045,0,0
0.952958441804576,1,2
0.011896712611379862,0,0
0.631547365248444,0,2
0.6554076873402892,1,2
0.5556187090083247,1,1
0.08011886831475758,0,0
0.5593585461742584,1,1
0.39420210337811723,0,0
0.06922649902135077,0,0
0.07119508151634624,1,0
0.11796247661862669,0,0
0.5454343235269633,0,1
0.1450089678115802,0,0
0.16129183415594237,0,0
0.11101668232452183,1,0
0.3147776943429171,0,0
0.8582578644030326,1,2
0.4172232013786324,0,1
0.9409743425002127,1,2
0.7836966337114374,1,2
0.8999567504063544,1,2
0.5304044936145709,0,1
0.8760298243460346,1,2
0.09099530777300494,1,0
0.5069362000842973,0,1
0.4788950363062562,1,1
0.5617118693412103,1,1
0.9271233612396106,1,2
0.3849287724450786,1,0
0.8997762655490805,1,2
0.8395791093657395,1,2
0.76566822819602,0,2
0.7931331014695631,1,2
0.20841964617007744,0,0
0.13294140568700533,0,0
0.6857123009236898,1,2
0.6286999816579535,1,2
0.12695767770109098,0,0
0.19134919454938676,0,0
0.20618870679345808,0,0
0.7310188644203988,0,2
0.5729214725528797,1,1
0.3749262562353718,0,0
0.8420836474834027,0,2
0.8886895297031834,1,2
0.6581915548149747,1,2
0.18181244310612207,0,0
0.08982255113760318,1,0
0.3824304169272412,1,0
0.9476407666411144,1,2
0.051674532807546254,0,0
0.7795630476323028,1,2
0.8704310402088101,1,2
0.7845150584056414,1,2
0.7016279311019707,1,2
0.11758286398652242,0,0
0.9142730951380356,1,2
0.4990531471828361,0,1
0.2883366083763752,0,0
0.37661012328449983,1,0
0.12973355661028904,0,0
